image_name,person_name,embedding
Akshay Kumar_0.jpg,Akshay Kumar,"[-1.5613296031951904, -0.08792342990636826, -0.8015758395195007, -0.17086640000343323, -0.44013381004333496, -0.2667328119277954, 1.3246524333953857, -0.3769167363643646, -1.059596061706543, 0.7552807331085205, 1.372299075126648, -0.36808598041534424, 0.8619574904441833, -0.07491489499807358, 0.09178806096315384, 0.8161376714706421, -0.7926158905029297, -1.607172966003418, 0.1265062540769577, -0.29214397072792053, -0.32641488313674927, 0.210586279630661, 0.8290379047393799, 0.8889971375465393, -0.048370808362960815, 0.5366126298904419, 0.7036330699920654, -0.17855843901634216, -1.022994041442871, -1.3533211946487427, -0.9552595615386963, 0.5258438587188721, 0.09927951544523239, 0.3736289143562317, 0.677112340927124, -1.0516712665557861, 1.8999422788619995, -0.5049460530281067, 1.717174768447876, -0.7854534387588501, -0.6075876951217651, 0.21055708825588226, 0.1419598013162613, 0.25826457142829895, -0.24215911328792572, -1.22293221950531, 0.3487231135368347, -0.7041213512420654, 1.0876867771148682, 0.4461517333984375, -0.7282083630561829, -0.3304452896118164, -1.6031546592712402, -0.902032196521759, -0.9483609199523926, -0.03374165669083595, 0.05356048792600632, 1.8742624521255493, -0.40492889285087585, -0.4270020127296448, 0.0055193789303302765, -0.4228666424751282, -0.8299997448921204, -1.3496060371398926, -1.258540391921997, 0.7918545007705688, -0.325753390789032, 1.3106141090393066, -0.12221900373697281, 0.1936188042163849, 0.17281323671340942, 0.3001745641231537, 0.4544731378555298, 0.6666474342346191, -0.12922176718711853, 0.007982872426509857, 0.9363217353820801, 0.8782284259796143, -0.41645026206970215, 0.32705003023147583, -1.265907645225525, -0.2232528179883957, -1.4598642587661743, 0.1917412281036377, -0.5043341517448425, 0.6218761205673218, 0.48778799176216125, -0.7187444567680359, -0.8183567523956299, -0.6336107850074768, 1.0913441181182861, -0.9982174038887024, 0.5488017797470093, -0.2582550048828125, 0.241768941283226, 0.7882031202316284, -0.9819517731666565, 1.3067243099212646, -1.9618160724639893, -1.4100950956344604, -0.6547095775604248, -1.2432440519332886, 0.5518888235092163, -1.3520913124084473, -0.1881043016910553, -1.0904206037521362, 1.357407569885254, -1.8176040649414062, -0.5811843276023865, 1.3230323791503906, 0.3872559070587158, -0.13193801045417786, 2.169050931930542, 0.098082534968853, -0.23527199029922485, 0.7483597993850708, 0.25567007064819336, -0.7853619456291199, -0.8038209676742554, 2.5953359603881836, -1.4728165864944458, -0.3794550895690918, 0.8587852120399475, 1.6536047458648682, 0.29475510120391846, -0.11508029699325562, 1.2005656957626343, 0.7828800678253174]"
Akshay Kumar_1.jpg,Akshay Kumar,"[0.2015206664800644, 1.0812405347824097, -1.0633028745651245, 0.7145664691925049, -0.1788376122713089, -0.3960532546043396, 0.7200355529785156, 1.2204517126083374, -0.4880737364292145, 0.5429882407188416, -0.5375321507453918, -0.9557855725288391, -0.014853276312351227, 0.8679828643798828, -0.7284386157989502, 0.3484153151512146, -0.17983126640319824, -3.187345504760742, -1.1251639127731323, -1.5150341987609863, -0.28868478536605835, 0.773747444152832, 1.058866024017334, 1.691601276397705, 0.006908840034157038, -0.6871805191040039, -0.6956645250320435, 0.9480686187744141, 0.3975393772125244, -0.7705334424972534, -3.3744499683380127, 0.07609504461288452, -2.235898017883301, 0.35011500120162964, 0.7997346520423889, -0.3385961055755615, -1.0187541246414185, 0.28299441933631897, 0.6395506858825684, -1.001455545425415, -0.5584986805915833, 1.1492615938186646, -0.3376690745353699, 0.5919656753540039, -0.5521678328514099, 0.7989479303359985, 2.0807836055755615, -0.681684136390686, -1.4975327253341675, 0.35600462555885315, -1.3540655374526978, 0.9903064966201782, -0.9059585332870483, -0.9646905064582825, -1.9829434156417847, 0.9889655709266663, 0.6947687268257141, 0.05487425997853279, -0.9224470257759094, 0.8718997836112976, -0.6718462109565735, -0.2738373875617981, 0.28822264075279236, -0.590143620967865, -0.20941346883773804, 0.5689663887023926, -0.24600708484649658, 1.647254467010498, 1.2121236324310303, -0.8746269941329956, 0.21637427806854248, 2.653575897216797, -1.068282127380371, 1.2743841409683228, -0.27647918462753296, 0.8774629831314087, 0.421243280172348, 0.9517129063606262, 0.38851210474967957, -0.8685619235038757, 0.1837255358695984, -0.8522828817367554, -0.7569442391395569, -0.06943149864673615, -0.2387179732322693, -1.4906405210494995, 1.9832886457443237, -2.977271795272827, -0.8387573957443237, -0.6745942234992981, 2.228750228881836, -0.3282241225242615, 1.2391103506088257, 0.7277334332466125, 0.15937559306621552, 1.7420990467071533, 0.18015436828136444, 1.3114596605300903, -1.8004240989685059, -0.6364890336990356, -1.1260356903076172, -0.7653460502624512, -0.5513749122619629, -0.1388552188873291, 0.22667956352233887, -1.6742305755615234, -0.9560479521751404, -1.7154134511947632, -1.169287085533142, 1.4214588403701782, 1.4317213296890259, -0.15049079060554504, 1.9217115640640259, 1.7514269351959229, -0.9470873475074768, 0.41367849707603455, -0.42597827315330505, 0.48646649718284607, -0.9067171216011047, 1.6528441905975342, -0.6770889163017273, 0.8088212013244629, -0.9357602000236511, 1.339837908744812, -0.5009750127792358, 0.19134503602981567, -0.13227222859859467, -1.9703868627548218]"
Akshay Kumar_2.jpg,Akshay Kumar,"[0.7215027809143066, 0.6583505868911743, -1.7401355504989624, 0.05271025747060776, -1.099682331085205, -0.1459679901599884, 1.2994663715362549, 1.7441630363464355, -1.3237488269805908, 0.8073446154594421, -0.5395968556404114, -0.7236297130584717, -0.20035143196582794, 0.7895259857177734, -0.5661454200744629, -0.4243775010108948, 0.8532677888870239, -2.7129154205322266, -0.24533379077911377, -0.46782320737838745, 0.1698342263698578, -0.3799411952495575, 1.7788785696029663, 0.825469434261322, 0.06827450543642044, 0.5471667647361755, -1.6497526168823242, 0.9419006705284119, 1.0392411947250366, 0.11579295247793198, -2.0060079097747803, 0.2581252455711365, -1.9084492921829224, 0.8996215462684631, -0.25615885853767395, -1.056515097618103, -0.41747885942459106, 1.194831371307373, 0.8408848643302917, -1.4040379524230957, -1.2217141389846802, 1.3551105260849, -0.9842431545257568, -0.2598540186882019, -0.18367896974086761, 0.6250714063644409, 2.4692718982696533, -0.3192291259765625, -0.8558876514434814, -0.25745511054992676, -0.6809792518615723, 0.7279576063156128, -1.6077274084091187, -1.3107686042785645, -2.402709722518921, 0.9881872534751892, -0.08253930509090424, 1.5955342054367065, 0.2693389654159546, 1.1987379789352417, -1.2815276384353638, -0.4218093156814575, 0.1242268979549408, -0.8171847462654114, 0.26033374667167664, -0.4908825755119324, -0.5366395115852356, 2.2408831119537354, 1.688305139541626, -0.25294747948646545, 0.6581840515136719, 2.499401092529297, -0.8455668091773987, 1.2512136697769165, -0.3894892632961273, 1.1681238412857056, 0.6826745271682739, -0.1739625334739685, -0.06655416637659073, -0.9431881904602051, -0.6893749237060547, -0.9623290300369263, -0.7894220948219299, -1.4616807699203491, -1.15816068649292, -0.45033949613571167, 1.2031221389770508, -3.01948618888855, -1.0100313425064087, -0.3293285071849823, 2.122575044631958, -0.8842966556549072, 0.20321747660636902, 0.32765641808509827, -0.23503640294075012, 0.8998902440071106, 0.46367982029914856, 1.3038537502288818, -1.0212574005126953, -0.4064386487007141, -0.5495891571044922, -0.067167729139328, 0.3066359758377075, -0.1584804654121399, -1.2986760139465332, -0.40306419134140015, -0.11956357955932617, -2.8067331314086914, -0.7917060256004333, 1.5894259214401245, -0.2543046474456787, 0.7211507558822632, 0.7269237041473389, 0.3818836808204651, 1.0284620523452759, 0.04818817228078842, -0.8452210426330566, -0.44373631477355957, -0.4869469106197357, 1.2395111322402954, 0.0465623140335083, 2.0326218605041504, -1.1429078578948975, 1.5739469528198242, -1.6428453922271729, -0.1988556981086731, 0.03119678609073162, -1.4056520462036133]"
Akshay Kumar_3.jpg,Akshay Kumar,"[1.0275133848190308, 1.418971300125122, -1.545936107635498, 0.16711661219596863, -0.6497137546539307, -0.6899308562278748, 1.0139105319976807, -0.041155990213155746, -1.2175798416137695, 1.111655831336975, 0.10078584402799606, 0.18719595670700073, 0.8438259363174438, -0.23375292122364044, 0.07279898226261139, -0.4032893180847168, 1.1806812286376953, -2.420574188232422, 0.0572570264339447, -1.1951920986175537, -0.6294882297515869, -0.10363471508026123, 0.6543669104576111, 1.4841892719268799, -0.603812038898468, -0.11397292464971542, -0.4507078528404236, 1.1063988208770752, 0.27710962295532227, -0.31198346614837646, -2.467719554901123, 0.9184975028038025, -1.8246220350265503, -0.34032636880874634, 0.786217212677002, -1.7743510007858276, 0.3759901821613312, 1.2553218603134155, 0.8259835839271545, -0.4250183701515198, -0.6974285840988159, 1.6326848268508911, 0.009869225323200226, 0.633878767490387, -0.6887626051902771, -0.00968482717871666, 3.1263508796691895, -0.7606950998306274, -0.3359472155570984, 0.5754714012145996, -1.0194059610366821, 0.5689382553100586, -1.5702340602874756, -1.1097348928451538, -0.8371110558509827, 1.1029248237609863, 0.522314727306366, 1.6711543798446655, -0.5888214707374573, 1.144771933555603, 0.10269630700349808, -1.2920773029327393, 0.6011434197425842, -1.1471577882766724, -0.3478182852268219, 1.0728379487991333, -0.5432718396186829, 2.2425425052642822, 1.2877188920974731, -0.8162455558776855, -0.21433548629283905, 2.3719544410705566, -0.44681060314178467, 1.756105661392212, -0.5537441968917847, 0.9485958218574524, 0.2603074908256531, -0.29897627234458923, -0.1883394718170166, -1.5289134979248047, -0.625890851020813, -0.31239840388298035, -0.7653599977493286, 0.18738186359405518, -1.3246235847473145, -0.40743520855903625, 1.856013298034668, -3.287907123565674, -0.6925352811813354, -0.7403303980827332, 0.7138052582740784, -0.8255833983421326, 1.4616132974624634, -0.17685365676879883, 1.0333521366119385, 1.0147836208343506, -0.0533188059926033, 1.41716468334198, -1.9868474006652832, -1.4281364679336548, -0.6342986226081848, -0.36476433277130127, -0.16133877635002136, -0.7862986326217651, -0.020560741424560547, -1.444998025894165, -0.6737621426582336, -1.5934351682662964, -0.02586197666823864, 0.8388310074806213, 0.4025368094444275, 0.1703789234161377, 1.290157437324524, 1.4476747512817383, -1.4858425855636597, 0.4584732949733734, -1.508867859840393, -0.3848414421081543, -0.2661695182323456, 2.5181379318237305, -1.5595173835754395, 1.3253000974655151, -0.5845630764961243, 0.9260663390159607, -0.8889141082763672, 1.3300886154174805, 0.11260221153497696, -2.301253080368042]"
Akshay Kumar_4.jpg,Akshay Kumar,"[-0.39544060826301575, 0.3180907368659973, -0.146366685628891, 1.3694921731948853, -0.08902963995933533, -1.1164097785949707, 0.038214217871427536, 0.9820575714111328, -1.882468342781067, 0.4196525514125824, -0.13196241855621338, -0.8349467515945435, 1.1203299760818481, 0.07337033748626709, -0.4722066819667816, -0.8973499536514282, 0.0973377376794815, -1.9193381071090698, -1.0295919179916382, -1.341120719909668, -1.3108978271484375, 0.459894061088562, 1.5740582942962646, 1.0715593099594116, -0.7986852526664734, -1.029649019241333, -1.1986911296844482, 2.2859601974487305, 0.19320198893547058, -1.5623095035552979, -2.279284715652466, -0.18503083288669586, -1.7105876207351685, -0.1488325148820877, 0.8533011674880981, -0.12268267571926117, -0.8296870589256287, -0.4338388442993164, 0.43689340353012085, -1.2238794565200806, -0.09844187647104263, 0.8602930903434753, -0.13034604489803314, 1.2265514135360718, 0.11325673013925552, 1.0473631620407104, 1.6789213418960571, -0.8457620143890381, -1.2702481746673584, -0.12230037152767181, -1.617748737335205, 0.9343219995498657, -1.1838539838790894, -0.45260292291641235, -1.2787407636642456, 1.747277855873108, 0.3323551416397095, 0.6144088506698608, -1.2579758167266846, 0.008029624819755554, 0.45172393321990967, -0.6570073962211609, 0.27477842569351196, 0.32828038930892944, -0.9922458529472351, 0.9714462161064148, -0.3858076333999634, 0.43102210760116577, 0.7378624677658081, -0.4701235592365265, -0.3094978928565979, 2.3964762687683105, -0.4470321834087372, 1.3301146030426025, 0.37662336230278015, 1.0535989999771118, -0.44246557354927063, 1.470084309577942, 0.7505003213882446, 0.12091696262359619, 0.9261611700057983, -0.10353599488735199, -0.9674685001373291, -0.3727056682109833, -0.0017515048384666443, -2.2517483234405518, 0.8206122517585754, -2.5248966217041016, -1.3707177639007568, -1.1733741760253906, 1.364905834197998, -0.19337701797485352, -0.47104519605636597, 0.9523300528526306, 0.9121972918510437, 0.5023653507232666, -0.337797611951828, 0.9108847975730896, -1.171250343322754, -1.8301177024841309, -1.3175722360610962, -0.008455906063318253, -0.700508177280426, 0.30564773082733154, 0.8546627759933472, -0.2674272656440735, 0.5284587740898132, -2.1251471042633057, -1.0207250118255615, -0.042723286896944046, 0.6287392973899841, 1.199647307395935, 1.1512176990509033, 1.7260863780975342, -1.1725473403930664, 1.7095696926116943, 0.13600477576255798, -1.103676199913025, -1.8164457082748413, 1.8204772472381592, -1.1247514486312866, 0.32352685928344727, -0.017311379313468933, 0.5765940546989441, -0.405325710773468, -0.12355928122997284, 0.34587281942367554, -1.4440555572509766]"
Akshay Kumar_5.jpg,Akshay Kumar,"[0.6740292310714722, 0.5646543502807617, 1.2330623865127563, -0.7883294224739075, -0.8274061679840088, 1.4321202039718628, 0.25377795100212097, 1.1730276346206665, -0.09042663872241974, -0.3928113877773285, 0.6641442179679871, -1.8229471445083618, 1.0252721309661865, 0.3949541449546814, -0.23611414432525635, 0.4736301898956299, -0.6856940984725952, -2.3189680576324463, -2.244957685470581, 0.3852735161781311, 1.437792420387268, 1.3703161478042603, 0.013378143310546875, -2.2524666786193848, -2.0276503562927246, -2.026636838912964, -0.8362157940864563, 0.6290227174758911, -0.6426325440406799, 0.5404729247093201, -1.4935848712921143, 0.9476056694984436, -0.4500221908092499, -0.45968449115753174, 0.8719135522842407, -0.2786259651184082, -0.8281682729721069, -0.0814061090350151, 0.5354246497154236, 0.2675381302833557, -0.1727055311203003, 0.45122820138931274, -1.573018193244934, -2.671567916870117, 0.22782869637012482, -1.1951994895935059, 0.7029732465744019, 1.2517640590667725, 1.3989434242248535, 0.4888232946395874, -1.7231543064117432, 0.4129405915737152, -0.011527128517627716, -0.3225451111793518, -0.5087316632270813, -2.4334359169006348, 0.263436883687973, 1.1963204145431519, -1.8755398988723755, -1.0672706365585327, -2.012810230255127, -0.5256341695785522, 0.10411794483661652, 1.8159775733947754, -0.5582267045974731, -0.40696924924850464, 1.5248771905899048, 0.7838709354400635, 1.1350245475769043, -0.5710010528564453, -0.6262267231941223, 0.6464264392852783, -0.6755865812301636, -0.3983328938484192, -0.3554079830646515, 0.22740164399147034, -1.5527684688568115, 0.24514487385749817, 0.07012609392404556, 0.32216864824295044, 0.5141456127166748, -1.8203141689300537, 0.43743911385536194, -0.8629816770553589, 0.5447521209716797, 0.000657595694065094, -0.24196329712867737, -0.948457658290863, -1.4822173118591309, -1.1957188844680786, 1.9083479642868042, 1.0337190628051758, 0.7415295243263245, 0.6349222660064697, 0.7225107550621033, 2.7156589031219482, -1.7063038349151611, 1.228658676147461, -0.8627278804779053, -0.7150256037712097, -0.09182019531726837, 0.3480091691017151, -2.2173514366149902, -0.04042700678110123, -0.7856038212776184, 0.8631024956703186, -0.25042062997817993, -1.4321601390838623, -0.6574022769927979, 1.7418711185455322, -0.6257079243659973, -0.30218034982681274, -0.6438950300216675, 0.6511008143424988, -1.0823860168457031, 0.8569661378860474, -0.3830835521221161, -2.204270362854004, -1.974422574043274, 0.05942481383681297, -1.3022546768188477, 0.16464132070541382, -0.08700083196163177, -1.4418004751205444, 0.2534365653991699, -0.16113612055778503, -0.8785524964332581, 0.39919930696487427]"
Akshay Kumar_6.jpg,Akshay Kumar,"[1.3416917324066162, 1.166130542755127, -0.7827114462852478, -0.5240164995193481, -1.2469863891601562, -0.2518448531627655, -0.781130850315094, -0.2674654722213745, -1.6596077680587769, 0.5529786348342896, -0.5860005021095276, -0.3844170868396759, 1.0461474657058716, 0.8570683002471924, 1.017486810684204, -0.4331431984901428, -0.8734484910964966, -2.539686918258667, 0.048235148191452026, -0.9647472500801086, -0.13194283843040466, -0.05329756438732147, 1.6328684091567993, 0.8124198317527771, -1.1257898807525635, -1.9390859603881836, -2.6572024822235107, 0.9435692429542542, -0.31593048572540283, -0.1776142418384552, -1.2501323223114014, -1.005986213684082, -1.1347160339355469, 0.6329676508903503, 1.5147751569747925, -0.9285460114479065, -0.1946823000907898, 0.7998884916305542, 1.2807807922363281, -0.2583557963371277, -0.27405470609664917, 0.8466103076934814, 0.4425767660140991, -0.5888400673866272, -0.4786923825740814, -0.3792479932308197, 1.8712096214294434, -0.26971739530563354, 0.10343863070011139, -0.24429532885551453, -2.4117889404296875, -0.5770025849342346, -0.7371197938919067, -1.0903033018112183, -1.763779878616333, 0.3549216389656067, 0.5415205955505371, 1.754063367843628, -0.6106757521629333, 0.5675346255302429, 0.08458349853754044, -0.2992643713951111, -0.15779338777065277, -0.8445055484771729, -2.0864715576171875, -0.14983205497264862, 0.5507034063339233, 0.15599392354488373, 0.7581085562705994, 1.0139546394348145, 1.334676742553711, 1.390439510345459, -0.6639346480369568, 0.5112298130989075, -0.9549003839492798, 0.278732031583786, 0.7669388055801392, 0.2934122085571289, -0.0008751899003982544, -1.291792392730713, 1.84392249584198, -2.245551347732544, 0.14958836138248444, 0.3876083493232727, -0.1421578824520111, -1.8245460987091064, 0.6499653458595276, -2.6005282402038574, -0.572390079498291, -2.4038498401641846, 1.6827596426010132, -1.9900600910186768, -0.2975620627403259, 0.2779811918735504, 0.26477494835853577, 1.26177978515625, -1.2710027694702148, 1.42566978931427, -1.5704338550567627, -1.16126549243927, -1.049507737159729, -0.42708563804626465, -0.3669975697994232, 0.2441927045583725, 0.5965288877487183, -0.64174485206604, 1.0624197721481323, -2.488525152206421, -1.1883844137191772, 1.7976746559143066, 0.3839516043663025, 0.4895167350769043, -0.3508758246898651, 1.499516248703003, -1.601805329322815, -0.8180588483810425, -0.22079512476921082, -1.4686617851257324, -2.184227466583252, 1.5031214952468872, -0.6227361559867859, 0.3238094449043274, 0.08332309126853943, 0.6111406087875366, 0.141807422041893, -0.29576441645622253, 0.05165670067071915, -0.9937507510185242]"
Akshay Kumar_7.jpg,Akshay Kumar,"[-1.3906049728393555, 0.265949547290802, -0.5528303384780884, 0.8918792605400085, 0.27705827355384827, 0.6290527582168579, 0.7519196271896362, 0.5851463675498962, -0.9871500730514526, 0.06819118559360504, 0.7099545001983643, -0.33224666118621826, 1.8154529333114624, 0.8069409132003784, -0.2969171404838562, -0.4027137756347656, -0.8030824661254883, -2.403399705886841, -0.6435205340385437, -0.038759633898735046, -0.1183483898639679, 0.44729939103126526, 0.39722782373428345, 0.13876239955425262, -1.6875088214874268, -0.28303229808807373, 0.3153071105480194, 1.1544731855392456, -1.8584740161895752, -1.5358420610427856, -1.6227630376815796, 0.743091344833374, -1.2596982717514038, -0.3879692554473877, -0.2309698611497879, -0.9962233901023865, -0.5354589223861694, -0.9985761046409607, 2.1979334354400635, -1.579295039176941, 0.0865059643983841, -0.49234867095947266, -0.05633819103240967, -0.9898918271064758, -0.8214041590690613, -1.2248778343200684, 1.1927591562271118, -1.4756309986114502, 0.517116129398346, 1.5163583755493164, -1.7647751569747925, 0.9540017247200012, -0.14125502109527588, -1.9447256326675415, -0.6327444911003113, 0.27313852310180664, 1.087129831314087, 0.44951266050338745, -0.7291526794433594, -1.0162761211395264, -2.1536526679992676, -1.0284981727600098, 1.2094476222991943, -0.04734458401799202, -1.2307629585266113, -0.900326132774353, 0.32907092571258545, -0.3013077676296234, -0.8139998316764832, 0.7681756019592285, 0.24109946191310883, 0.9077261686325073, 0.39628124237060547, 1.1898683309555054, -0.5155004858970642, 0.09030187129974365, -0.33580368757247925, 0.6093734502792358, -0.45273327827453613, 0.2959747910499573, 0.6901023983955383, -1.0432765483856201, -0.24318630993366241, 0.17626604437828064, 1.2578400373458862, 0.8460865020751953, 0.4013114273548126, 0.0013839751482009888, -1.5382139682769775, -0.6917238831520081, 2.062875509262085, -1.0710556507110596, -0.1413603574037552, 0.515812873840332, 0.5636047124862671, 0.773848295211792, -1.0091184377670288, 1.3865082263946533, -1.671027421951294, -2.3173272609710693, -1.2449015378952026, -0.8595824241638184, 0.706347644329071, -0.9311659932136536, 0.2662868797779083, -1.3984228372573853, 1.5623630285263062, -0.8554291725158691, -0.4521676003932953, 1.4627832174301147, 0.8725222945213318, 0.9662246108055115, 1.1311235427856445, 2.4813008308410645, -0.20076164603233337, -0.5567125082015991, 0.8461273908615112, -0.21246302127838135, -0.8174116015434265, 1.5162923336029053, -1.220353364944458, -0.2875821888446808, 0.9343786835670471, 1.315873622894287, -0.5005847215652466, -0.7419552206993103, 0.6701270341873169, 0.6070394515991211]"
Akshay Kumar_8.jpg,Akshay Kumar,"[-0.10167986154556274, -0.06272566318511963, -1.1437621116638184, 1.2787896394729614, 0.6953690052032471, -0.26284071803092957, -0.06464281678199768, 0.437084436416626, -1.3710989952087402, 0.355813205242157, 1.0101584196090698, -1.8759289979934692, 0.815703272819519, 0.1417551040649414, 0.14891782402992249, -0.10488859564065933, 1.3005648851394653, -1.456677794456482, -1.666827917098999, 0.6550174951553345, 0.6385784149169922, 0.4184679388999939, 1.5067843198776245, 0.6128955483436584, -0.7287278771400452, -1.2443211078643799, -2.021763563156128, 1.060267686843872, 1.6325725317001343, 1.1084532737731934, 1.2612535953521729, -0.09323316812515259, 0.6372891664505005, 0.35292333364486694, 0.7230919599533081, -2.0317800045013428, 0.0051505230367183685, 2.1219310760498047, -0.7728539109230042, 0.7208387851715088, -1.46817946434021, 0.8276690244674683, 0.5693917870521545, -0.3132365345954895, -0.7302573919296265, -0.9418444633483887, 1.6188056468963623, 1.1966694593429565, 1.1882431507110596, 0.09960529208183289, -0.8298690915107727, 0.21605391800403595, -0.477268785238266, -0.4174363613128662, -1.0201988220214844, 0.9177554845809937, 0.34524619579315186, 1.2377108335494995, 0.3979687988758087, 1.1349238157272339, -0.8873274922370911, 0.8820280432701111, -0.6575834155082703, 1.6779142618179321, -0.9179030060768127, -0.815213680267334, 0.028839826583862305, 2.4220902919769287, 0.8884469866752625, -0.4173451364040375, -0.9821751117706299, -0.03414801508188248, -0.2829105257987976, 0.7648062705993652, -1.4861557483673096, 1.6028434038162231, 0.905767560005188, -0.9806952476501465, -1.774065375328064, -1.3102623224258423, 0.30180588364601135, -0.7470442056655884, -1.240007758140564, 0.33667129278182983, -0.23125120997428894, -0.8852657079696655, 0.26590073108673096, -2.075105905532837, -1.8875666856765747, -1.9260244369506836, 1.4096581935882568, 0.3588014543056488, -0.010013274848461151, -0.6107852458953857, 0.3107210695743561, 0.39254358410835266, -0.8826789259910583, 0.3989294469356537, -1.0683562755584717, -2.0454392433166504, -0.7336978912353516, -0.5707539319992065, -1.2060660123825073, -0.1425926685333252, 0.19991612434387207, -0.25522035360336304, 0.9473897218704224, -3.7601163387298584, 0.6883094906806946, -0.2756238281726837, -0.9760523438453674, -0.03496763855218887, -0.4698425233364105, 1.2272875308990479, -0.829628586769104, -0.8455990552902222, -0.35621678829193115, -2.1911211013793945, -1.3843719959259033, 2.6573846340179443, 0.18816331028938293, 0.566882848739624, -0.5900526642799377, -0.3341553509235382, 0.09497164189815521, -0.04109397530555725, 0.7242503762245178, 0.11451463401317596]"
Akshay Kumar_9.jpg,Akshay Kumar,"[0.4638676643371582, 0.41394945979118347, -0.004926813766360283, -0.6436101794242859, -0.4580748975276947, 0.2677481174468994, 1.473811388015747, -0.9808945059776306, -0.41375574469566345, 0.2372751235961914, 0.31567856669425964, -1.050053596496582, -0.0010338649153709412, 0.7924546003341675, -1.4257644414901733, 0.4446867108345032, -1.904820442199707, -1.487062931060791, 0.8265406489372253, -0.44108399748802185, 0.13485503196716309, 0.485533744096756, -0.7774369120597839, 0.21974393725395203, 1.209302544593811, -0.26169639825820923, 0.6716068387031555, -0.2989378571510315, -0.9486817121505737, -1.2113232612609863, -1.9133292436599731, 0.7279821038246155, -0.4189959466457367, -0.2374165654182434, 0.2094089388847351, 0.3047787845134735, -0.4583348035812378, -0.7762327790260315, 1.7230727672576904, -0.2028030902147293, 0.1808764636516571, 0.2557429075241089, 0.6958281993865967, 0.9294605255126953, 0.21613621711730957, -1.2269737720489502, -0.8344020843505859, 0.47134214639663696, -0.3131662905216217, -1.7443474531173706, -1.0926140546798706, -0.09810341894626617, -1.923109531402588, -0.418247252702713, -0.4851885139942169, -1.1133157014846802, 1.1483200788497925, 2.337705135345459, -0.8980922698974609, -0.47049951553344727, 0.350875586271286, -0.7197483777999878, -0.417067289352417, -1.063813328742981, -0.7435192465782166, 1.9889942407608032, 0.20721392333507538, 0.13882319629192352, 0.19313108921051025, 0.3380833566188812, 0.6933102011680603, 0.4083869755268097, -0.9075156450271606, 2.0091171264648438, -1.2722220420837402, -0.21207734942436218, 0.8263291120529175, 1.7730854749679565, 1.5961114168167114, 1.645795464515686, 0.9834533333778381, 0.11552166938781738, 0.48095783591270447, 0.4557686746120453, -0.5639880299568176, -0.21079741418361664, 1.0606192350387573, -1.8813954591751099, -0.9993559122085571, -0.9879785776138306, 1.795949935913086, -0.3609844744205475, 0.6220347881317139, 0.43043237924575806, -0.9868912696838379, 1.186517596244812, -1.9932020902633667, 0.1682528704404831, -2.212446451187134, -0.4606766402721405, -2.7024636268615723, -1.8806229829788208, -0.1012350469827652, -0.47275668382644653, -1.279922366142273, -2.1507492065429688, 0.3254335820674896, -1.1055676937103271, -1.1347192525863647, 1.4092150926589966, 0.8738455772399902, -1.720399022102356, 2.581403970718384, 0.8965092897415161, -0.6976245641708374, 1.1930420398712158, 1.0868371725082397, 0.6324068903923035, -0.2700175940990448, 2.102623224258423, -1.0283044576644897, 1.5846149921417236, 0.46761780977249146, 1.1607500314712524, 0.745929479598999, 0.8519349098205566, 0.7677633762359619, -1.215626835823059]"
